CustomerID,Gender,Age,Tenure,MonthlyCharges,TotalCharges,ContractType,InternetService,PaymentMethod,SupportTickets,AverageUsageHours,Churn
CUST-00001,Male,68,1,66.14,,Month-to-month,DSL,Bank transfer,0,213.01458898550973,Yes
CUST-00002,Female,64,17,75.11,1256.13,Month-to-month,DSL,Electronic check,1,101.81309967540082,No
CUST-00003,Male,80,3,56.22,188.62,Month-to-month,DSL,Mailed check,0,239.95203062744915,No
CUST-00004,Male,64,68,52.17,3530.04,One year,DSL,Credit card,2,191.07161847601648,No
CUST-00005,Male,21,20,19.39,429.9,Two year,No,Electronic check,1,134.90843744496502,No
CUST-00006,Female,24,69,84.5,5851.98,Month-to-month,Fiber optic,Mailed check,0,35.21355538285337,No
CUST-00007,Male,62,5,81.81,422.79,Two year,Fiber optic,Credit card,3,210.45002168999258,No
CUST-00008,Male,52,32,99.23,3152.17,Month-to-month,Fiber optic,Electronic check,4,188.62093209357076,Yes
CUST-00009,Male,65,19,109.23,2096.46,Month-to-month,Fiber optic,Credit card,3,178.35719866087936,No
CUST-00010,Female,80,53,107.31,5679.88,Month-to-month,Fiber optic,Electronic check,3,310.5060277672149,Yes
CUST-00011,Male,26,25,25.89,619.78,Month-to-month,No,Credit card,2,93.83606753893432,No
CUST-00012,Male,25,61,102.17,6236.22,Month-to-month,Fiber optic,Electronic check,1,241.29526743884082,No
CUST-00013,Male,69,5,76.42,388.9,Two year,Fiber optic,Electronic check,0,138.8097757075418,No
CUST-00014,Male,62,7,81.26,556.85,Two year,Fiber optic,Electronic check,3,165.30899674360802,Yes
CUST-00015,Female,34,34,25.76,866.82,Month-to-month,No,Bank transfer,0,168.72824798185798,No
CUST-00016,Male,34,12,59.87,715.77,Month-to-month,DSL,Credit card,2,200.0758343708855,Yes
CUST-00017,Female,66,49,47.92,2345.01,Two year,DSL,Bank transfer,3,107.12906863570583,No
CUST-00018,Female,50,6,25.28,162.91,Month-to-month,No,Credit card,0,293.62796053545367,Yes
CUST-00019,Female,49,7,22.88,156.04,One year,No,Credit card,2,83.66610016570918,No
CUST-00020,Male,25,6,107.21,667.94,Month-to-month,Fiber optic,Electronic check,2,128.59471350573438,Yes
